"ID","Age","Income","Education","City","Department","Score","Years_Experience","Satisfaction","Performance_Rating"
379,41,NA,"Bachelor","Phoenix","HR",82.3,26,3,"Good"
380,67,66487.12,"Bachelor","Los Angeles","HR",67.9,20,10,"Fair"
381,72,50386,"Master","New York","Finance",89.2,24,1,"Fair"
382,24,78444.85,"Master","Phoenix","Finance",102.7,1,2,"Good"
383,31,82854.05,"High School","Chicago","Finance",93.6,10,7,"Fair"
384,29,41760.17,"Bachelor","Los Angeles","Finance",54.3,25,6,"Excellent"
385,70,39452.62,"Bachelor","Houston","HR",82.1,17,9,"Poor"
386,68,65270.77,"Master","Houston","Engineering",75.2,11,1,"Good"
387,27,36733.76,"Master","Los Angeles","HR",76.3,22,9,"Poor"
388,74,46011.52,"Master","Houston","Engineering",72.3,0,4,"Good"
389,42,71058.65,"Bachelor","Los Angeles","Marketing",56,15,9,"Good"
390,54,43530.46,"Bachelor","Chicago","Finance",80,25,9,"Good"
391,19,16437.5,"High School","Houston","Sales",95.3,2,9,"Good"
392,52,68287.82,"Bachelor","Phoenix","Sales",99.5,18,6,"Good"
393,51,22949.2,"Master","Los Angeles","Marketing",82.2,28,7,"Good"
394,44,27907.99,"Bachelor","Houston","Finance",64,10,10,"Excellent"
395,63,-5358.65,"Bachelor","Phoenix","Engineering",66.3,21,7,"Fair"
396,48,71624.76,"Bachelor","Los Angeles","Marketing",65.8,13,7,"Good"
397,44,60021.94,"PhD","Phoenix","Sales",84.1,27,10,"Poor"
398,33,64245.87,"Master","Los Angeles","Finance",71.5,28,5,"Good"
399,53,71895.84,"PhD","Houston","HR",118.6,5,5,"Good"
400,73,54160.57,"High School","Phoenix","Engineering",71,27,5,"Good"
401,70,32888.48,"Bachelor","Phoenix","HR",77.2,30,10,"Fair"
402,41,66275.51,"PhD","New York","Sales",71.9,0,8,"Good"
403,55,81067.3,"Bachelor","Houston","Engineering",65.4,4,5,"Poor"
404,69,24995.58,"High School","Los Angeles","Engineering",87.7,23,6,"Good"
405,38,42860.22,"Bachelor","Phoenix","HR",67.1,19,1,"Good"
406,37,49155.1,"PhD","New York","Finance",75,13,2,"Good"
407,28,29206.33,"Master","Los Angeles","Sales",70.8,18,6,"Good"
408,75,68882.12,"Bachelor","Chicago","Sales",32.6,7,10,"Good"
409,50,43016.36,"Master","Los Angeles","HR",84.8,6,7,"Good"
410,76,80138.13,"Bachelor","Phoenix","Sales",77.4,11,8,"Good"
411,31,56070.16,"Master","Los Angeles","Marketing",62.2,11,8,"Good"
412,45,69561.85,"Bachelor","New York","Sales",95.4,28,10,"Good"
413,50,86221.96,"PhD","Houston","Engineering",56.1,7,1,"Good"
414,46,60312.5,"PhD","Chicago","Finance",48.3,5,2,"Fair"
415,53,76534.53,"Master","Phoenix","HR",64.7,24,3,"Poor"
416,62,59213.96,"High School","Phoenix","Marketing",57.2,6,8,"Good"
417,49,24766.53,"Master","Los Angeles","Engineering",86.8,12,8,"Good"
418,55,55448.05,"PhD","Houston","Finance",76.3,9,6,"Good"
419,39,69362.72,"High School","Houston","HR",69.4,12,8,"Excellent"
420,61,64789.14,"Bachelor","Houston","HR",75.1,17,7,"Excellent"
421,78,51522.23,"Bachelor","Los Angeles","Sales",60.7,2,9,"Excellent"
422,24,30646.01,"Master","Houston","Marketing",77.7,0,5,"Excellent"
423,61,67927.97,"Bachelor","Chicago","Sales",77.9,21,6,"Fair"
424,22,36670.88,"PhD","Chicago","Engineering",73.9,4,7,"Good"
425,48,29963.53,"High School","Chicago","HR",75,30,6,"Fair"
426,49,66898.55,"Bachelor","Phoenix","Sales",58.4,26,6,"Excellent"
427,35,30343.79,"PhD","New York","HR",89,12,7,"Fair"
428,56,59887.29,"Bachelor","Los Angeles","Marketing",52.7,12,3,"Good"
429,30,55055.44,"PhD","Chicago","Finance",108.4,2,7,"Excellent"
430,75,28435.81,"High School","Chicago","Engineering",99.4,5,8,"Good"
431,47,78593.93,"Bachelor","Chicago","Engineering",82.8,3,5,"Fair"
432,71,43143.9,"High School","New York","Marketing",54.7,26,7,"Fair"
433,19,78999.57,"Bachelor","Houston","HR",81.4,9,3,"Good"
434,45,45499.33,"High School","Los Angeles","HR",50.1,15,8,"Fair"
435,20,43498.86,"PhD","Chicago","Sales",71,17,6,"Fair"
436,50,54375.48,"High School","Los Angeles","Marketing",86.9,11,5,"Good"
437,64,47838.86,"Bachelor","Phoenix","Sales",87.6,8,9,"Excellent"
438,46,47867.98,"Bachelor","Los Angeles","Engineering",75.5,23,7,"Good"
439,37,37446.71,"Bachelor","New York","HR",71.4,7,5,"Fair"
440,60,30742.06,"Bachelor","Chicago","HR",79,6,3,"Fair"
441,26,67265.73,"Master","Chicago","HR",51.1,18,4,"Fair"
442,71,38875.93,"Bachelor","Houston","Marketing",69.4,11,4,"Excellent"
443,27,27470.86,"PhD","Houston","Engineering",102.2,17,10,"Good"
444,24,44843.04,"Bachelor","Phoenix","HR",48.9,16,6,"Good"
445,68,38981.29,"PhD","Phoenix","Finance",99.4,16,5,"Poor"
446,45,11144.29,"High School","Phoenix","HR",82.9,27,1,"Poor"
447,35,49181.26,"Master","Houston","Finance",69.6,3,9,"Good"
448,42,58343.48,"Master","Los Angeles","Engineering",108.6,16,4,"Good"
449,61,60893.85,"Master","Houston","Engineering",74.4,0,9,"Good"
450,27,62854.83,"Master","New York","Marketing",103.4,9,4,"Poor"
451,26,34983.13,"Master","Phoenix","HR",75.4,23,8,"Poor"
452,36,48485.46,"Bachelor","Chicago","Marketing",83.3,30,6,"Excellent"
453,32,34833.02,"High School","Chicago","Finance",66.4,0,3,"Good"
454,63,42291.37,"Master","New York","Sales",61.1,1,5,"Good"
455,72,30803.19,"Bachelor","Phoenix","Engineering",45,21,3,"Excellent"
456,20,32670.72,"Bachelor","Phoenix","Finance",65.7,10,10,"Good"
457,39,67597.62,"Master","Chicago","HR",85.9,2,7,"Poor"
458,78,49549.57,"Bachelor","New York","Finance",58.5,16,3,"Good"
459,37,49823.18,"Bachelor","Chicago","HR",NA,9,6,"Good"
460,59,89591.16,"High School","Phoenix","Engineering",68.4,19,2,"Good"
461,51,53832.16,"Master","Chicago","Marketing",77.4,15,10,"Fair"
462,40,44258.72,"Bachelor","Houston","Engineering",67.6,23,2,"Poor"
463,34,69945.73,"Bachelor","Houston","HR",93.2,19,9,"Poor"
464,35,45254.84,"Master","Houston","Marketing",79.4,9,8,"Fair"
465,36,82458.16,"Bachelor","Los Angeles","Engineering",74.5,7,5,"Fair"
466,63,NA,"Bachelor","Houston","Finance",58.5,24,9,"Good"
467,34,42676.95,"Master","New York","Engineering",61,10,9,"Excellent"
468,47,31637.5,"Bachelor","Los Angeles","Marketing",81.9,22,2,"Fair"
469,27,61572.81,"High School","Los Angeles","Marketing",70,0,1,"Good"
470,54,84330.21,"Bachelor","Chicago","Engineering",91.6,27,2,"Good"
471,62,47879.81,"PhD","Phoenix","Engineering",50.5,20,3,"Poor"
472,67,60229.35,"High School","Chicago","Engineering",80,29,4,"Good"
473,68,NA,"Master","New York","HR",67.1,19,2,"Good"
474,68,83443.86,"High School","Los Angeles","HR",97,15,7,"Excellent"
475,27,68277.53,"Master","Phoenix","HR",81.4,16,4,"Good"
476,65,NA,"High School","Houston","Sales",59.6,14,1,"Excellent"
477,51,41061.96,"Master","New York","Finance",55.4,11,10,"Good"
478,75,40077.39,"Bachelor","Houston","Finance",78.4,20,10,"Good"
479,21,57831.46,"Bachelor","Phoenix","Marketing",70.4,7,7,"Excellent"
480,42,54921.06,"Bachelor","Los Angeles","Marketing",73.7,5,7,"Poor"
481,43,62358.75,"Bachelor","Houston","Finance",72.5,17,9,"Excellent"
482,78,41853.14,"Bachelor","Phoenix","Finance",84.8,4,1,"Good"
483,56,47473.07,"Master","Houston","Sales",58.9,19,9,"Poor"
484,50,69827.2,"Master","Chicago","Sales",127.1,11,9,"Good"
485,63,53007.86,"Master","New York","HR",79.4,6,3,"Good"
486,69,41914.2,"Master","Chicago","Engineering",67,28,8,"Excellent"
487,39,74423.29,"Master","Chicago","Engineering",72.8,23,10,"Poor"
488,68,55269.93,"PhD","Phoenix","HR",83.1,13,2,"Good"
489,61,36669.31,"Bachelor","New York","Engineering",84.5,5,3,"Fair"
490,36,89193.77,"Master","Phoenix","Marketing",48.4,19,6,"Fair"
491,23,31637.98,"PhD","New York","Marketing",44,15,2,"Good"
492,61,19379.27,"Bachelor","Phoenix","Sales",73.7,25,7,"Good"
493,42,9937.35,"Bachelor","New York","Finance",87.6,20,1,"Excellent"
494,47,68022.52,"Bachelor","Chicago","Engineering",77.5,29,6,"Good"
495,59,44343.35,"Bachelor","New York","Finance",90.4,10,3,"Excellent"
496,56,49488.81,"PhD","New York","HR",81,28,1,"Fair"
497,68,60792.54,"PhD","Houston","Sales",81.2,2,6,"Good"
498,42,45670.32,"High School","Phoenix","HR",100.2,8,9,"Good"
499,19,22838.8,"High School","Phoenix","Engineering",59.1,11,4,"Good"
500,55,16004.32,"Master","Houston","Finance",63.1,22,10,"Good"
